,,Payment System Name
Visa,,262785
Mastercard,,213315
EFECTY,,132324
Bancolombia,pce,113926
Recaudo en tienda,,61020
BANCOLOMBIA,,60945
BALOTO,,46295
Banco Davivienda,pce,40985
American Express,,25600
BANCO DAVIVIENDA,,19442
Banco BBVA Colombia S.A.,,13435
Pago Contraentrega,,13076
Banco De Bogota,,10716
Assumed value by affiliate Distroller(DTL),,8750
Diners,,8570
Banco Colpatria,,8162
BANCO BBVA COLOMBIA S.A.,,6026
Banco Caja Social,,5724
BANCO DE BOGOTA,,5079
Banco Itau,,4547
Banco AV Villas,,4533
Codensa,,4222
NEQUI,,3973
BANCO CAJA SOCIAL,,2476
BANCO COLPATRIA,,2436
CODENSA,,2376
CITIBANK,,1851
BANCO AV VILLAS,,1789
ITAU,,1466
Assumed value by affiliate Puntos Colombia(VPC),,1318
Banco De Occidente,,1057
Banco Falabella,,926
Assumed value by affiliate Mercado Livre - pepeganga - gold_special(MLB),,908
Banco GNB Sudameris,,787
Vale,,777
Banco Popular,,666
BANCO DE OCCIDENTE,,663
DAVIVIENDA,,582
BANCO POPULAR,,561
Bancoomeva S.A.,,536
Banco Agrario,,532
"Visa, Visa",,440
BANCO FALABELLA,,429
"Visa, Mastercard",,378
"Mastercard, Visa",,375
Banco Cooperativo Coopcentral,,368
BANCO AGRARIO,,340
BANCO GNB SUDAMERIS,,307
"Mastercard, Mastercard",,292
BANCOOMEVA S.A.,,278
"Vale, Visa",,277
TC Pepe Ganga,,276
"Visa, Vale",,269
"Mastercard, Vale",,252
"Vale, Mastercard",,235
"Bancolombia, Vale",,222
HELM BANK S.A.,,199
"Vale, Bancolombia",,194
BANCO COOPERATIVO COOPCENTRAL,,183
BANCO CORPBANCA S.A,,157
"EFECTY, Vale",,133
Banco Pichincha S.A.,,116
"Vale, EFECTY",,106
"BALOTO, Vale",,99
"Vale, Banco Davivienda",,81
"Vale, Recaudo en tienda",,76
"Banco Davivienda, Vale",,75
"Vale, Vale",,70
"Vale, BALOTO",,70
"Recaudo en tienda, Vale",,64
"American Express, Visa",,63
"Vale, Banco BBVA Colombia S.A.",,54
"BANCOLOMBIA, Vale",,45
"American Express, Mastercard",,45
"Visa, American Express",,42
"Vale, BANCOLOMBIA",,41
BANCO PROCREDIT,,40
DAVIPLATA,,36
"Vale, Vale, Visa",,29
BANCO PICHINCHA S.A.,,29
"Codensa, Codensa",,29
Addi,,26
"Mastercard, Vale, Vale",,23
"American Express, Vale",,21
"Vale, Vale, Bancolombia",,21
"Vale, Banco Colpatria",,18
"Banco Itau, Vale",,18
"Banco BBVA Colombia S.A., Vale",,18
"Vale, Banco AV Villas",,18
"Vale, BANCO DAVIVIENDA",,17
"Banco De Bogota, Vale",,17
"Vale, Pago Contraentrega",,17
"Vale, Bancolombia, Vale",,16
"Banco Davivienda, Vale, Vale",,14
"Vale, NEQUI",,12
"Banco AV Villas, Vale",,12
"Vale, Diners",,12
"Mastercard, American Express",,12
"Vale, Vale, Mastercard",,12
"Vale, American Express",,12
Codensa - MP,,11
"BANCO DAVIVIENDA, Vale",,11
"Diners, Visa",,11
"Vale, Vale, Vale, Visa, Vale",,9
"Vale, Banco De Occidente, Vale",,8
"Banco Caja Social, Vale",,8
"Vale, Banco De Bogota",,7
"BANCO DE BOGOTA, Vale",,7
"Vale, Mastercard, Vale",,7
"Vale, BANCO DE BOGOTA",,7
"DAVIVIENDA, Vale",,7
"Codensa, Vale",,7
"Vale, EFECTY, Vale",,7
"Vale, Vale, Vale",,7
"Visa, Vale, Vale",,7
"American Express, Diners",,6
"American Express, American Express",,6
"Diners, Mastercard",,6
"Vale, Banco Davivienda, Vale",,6
"Diners, Vale",,6
"BANCO BBVA COLOMBIA S.A., Vale",,5
"Vale, Vale, Mastercard, Vale, Vale",,5
"CODENSA, CODENSA",,5
"EFECTY, Vale, Vale",,5
"Vale, Banco Itau",,5
"Pago Contraentrega, Vale",,4
"Bancolombia, Vale, Vale",,4
"Banco Pichincha S.A., Vale",,4
"Vale, CODENSA",,4
"Vale, Banco Caja Social",,4
"BANCO DE OCCIDENTE, Vale",,4
"Vale, Visa, Vale",,4
Assumed value by affiliate Dafiti - pepeganga(DFT),,4
"CODENSA, Vale",,4
"Vale, Vale, Banco BBVA Colombia S.A.",,3
Pago en tienda,,3
"Vale, Vale, Vale, Banco Davivienda, Vale, Vale, Vale, Vale",,3
"Bancoomeva S.A., Vale",,3
Citibank,,3
"Banco Colpatria, Vale",,3
"BANCOLOMBIA, Vale, Vale",,3
BANCO SANTANDER COLOMBIA,,3
"Vale, BANCO AGRARIO",,3
"Vale, Vale, Banco AV Villas",,3
"Vale, BANCO AV VILLAS",,2
"Vale, Vale, Banco Davivienda",,2
"Visa, Diners",,2
"Vale, DAVIVIENDA",,2
"Vale, Banco De Occidente",,2
"Vale, Vale, Banco Davivienda, Vale, Vale",,2
"Vale, ITAU",,2
"Vale, Vale, EFECTY",,2
"Vale, TC Pepe Ganga",,2
"NEQUI, Vale",,2
"Diners, Diners",,2
"Vale, Banco Agrario",,2
"Vale, CITIBANK",,1
"Vale, BALOTO, Vale",,1
Banco Procredit,,1
"BANCO CAJA SOCIAL, Vale",,1
"Vale, BANCO CAJA SOCIAL",,1
"BANCOOMEVA S.A., Vale",,1
"Visa, Vale, Vale, Vale",,1
Reserva en tienda,,1
"Diners, American Express",,1
"Banco De Occidente, Vale",,1
"Vale, Bancoomeva S.A.",,1
"Vale, Vale, BALOTO",,1
