,,SLA Type
Normal,normal,785933
Normal servientrega,normal,195364
Pago en efectivo Contraentrega,contra entrega,13905
Recogida en tienda C.C. Hayuelos,hayuelos,9216
Recogida en tienda C.C. Centro mayor,centro mayor,9147
Recogida en tienda Galerias,galerias,7886
Recogida en tienda Cedritos,cedritos,7147
Recogida en tienda Calle 93,,6660
Recogida en tienda C.C. Bulevar Niza,,6274
Redicol,,4458
Recogida en tienda Pepe Ganga Pepe Sierra,,3820
Tienda Niza (576cd267-2412-4002-bd42-0a15131c1696),,3757
Express,,3374
Recogida en tienda,,3310
Pepe Ganga Hayuelos - Recoge en tienda ,,2688
C.C. Centro Mayor - Recoge en tienda ,,2330
Galerias - Recoge en tienda ,,2327
Tienda Hayuelos (1a46b2d4-7751-4ffd-be8a-3f9652c4fa62),,2323
C.C. Bulevar Niza Recoge en tienda,,2229
Calle 93 - Recoge en tienda ,,1940
Tienda Cedritos (4c54455e-aa27-46aa-aa67-2afc87e9e6ff),,1914
Tienda Centro Mayor (739ec8b5-b288-457e-a350-9718dfbd0416),,1907
Recogida en tienda Pepe Sierra,,1841
Cedritos - Recoge en tienda ,,1654
Recogida en tienda Baby Ganga Pepe Sierra,,1646
Tienda 93 (51afc320-9ce0-41c6-9f40-fca19cf4af68),,1454
Pepe Ganga Pepe Sierra - Recoge en tienda ,,1304
Recogida en tienda Outlet Toberin,,1221
C.C. Bulevar Niza Recogida en tienda,,1203
Recoge en tienda C.C. Bulevar Niza ,,1009
Recoge en tienda Cedritos ,,991
Recoge en tienda Galerias  ,,978
Baby Ganga Pepe Sierra - Recoge en Tienda ,,939
vtex:fob_1c41c6f,,908
Recoge en Tienda Baby Ganga Pepe Sierra - ,,843
Outlet Toberin - Recoge en tienda ,,811
Tienda Express Pepe Sierra (b50ccf87-57b8-40fc-8d06-bae77a30caa5),,683
Recoge en tienda C.C. Bulevar Niza - ,,669
Recoge en tienda Pepe Ganga Hayuelos,,621
Recoge en tienda Calle 93 ,,616
Recoge en tienda Pepe Ganga Hayuelos ,,534
Recoge en tienda C.C. Centro Mayor ,,453
Recoge en tienda C.C. Centro Mayor,,430
Recogida en tienda Baby Ganga Calle 93,,420
Tienda Pepe Sierra (19e9fe60-8549-4b4a-8d0d-6dfb97f69b51),,356
Recoge en tienda C.C. Centro Mayor -,,320
Coordinadora Pepeganga,,285
Recoge en tienda Baby Ganga Pepe Sierra ,,265
Recogida en Tienda C.C. Bulevar Niza,,244
Recoge en tienda Pepe Ganga Hayuelos - ,,236
Recoge en tienda Pepe Ganga Pepe Sierra ,,225
Recoge en tienda Pepe Ganga Pepe Sierra,,206
Recoge en tienda Galerias - ,,188
Recoge en tienda Baby Ganga Pepe Sierra,,187
Recoge en tienda Calle 93 - ,,147
Recoge en tienda Cedritos - ,,130
Recoge en tienda Outlet Toberin - ,,122
Recoge en tienda Baby Ganga Calle 93,,115
Envío Estándar ,,114
Recoge en tienda Pepe Ganga Pepe Sierra -  ,,80
Tienda 93 (14cabba6-13c7-4e46-9805-110344a1d722),,70
Recoge en Tienda Baby Ganga Pepe Sierra,,48
Tienda Pepe Sierra (b50ccf87-57b8-40fc-8d06-bae77a30caa5),,42
Recogida en tiendas Cedritos,,33
Tienda (4c54455e-aa27-46aa-aa67-2afc87e9e6ff),,8
Tienda (14cabba6-13c7-4e46-9805-110344a1d722),,4
vtex:fob_Dafiti,,2
Envío Estándar Cali,,2
Estimado de entrega de 3 a 5 días hábiles,,2
Recoge en tienda C.C. Ciudad Tunal ,,1
Recogida en tienda C.C. Ciudad Tunal,,1
Envío Estándar 1 Kilo,,1
