ID_SKU;Category
1;Jugueteria - Mini munecas
8;Videojuegos y Consolas - Videojuegos
9;Videojuegos y Consolas - Videojuegos
10;Videojuegos y Consolas - Videojuegos
12;Jugueteria - Carros
18;Ropa - Ninas
19;Bebes - Cobijas y mantas
20;Bebes - Cobijas y mantas
21;Bebes - Cobijas y mantas
22;Bebes - Cobijas y mantas
23;Bebes - Cobijas y mantas
24;Bebes - Cobijas y mantas
25;Bebes - Cobijas y mantas
26;Bebes - Cobijas y mantas
27;Bebes - Cobijas y mantas
28;Ropa - Camisetas
29;Ropa - Camisas
30;Videojuegos y Consolas - Videojuegos
31;Ropa - Conjuntos
32;Ropa - Bodies
33;Ropa - Bodies
34;Ropa - Bodies
35;Ropa - Bodies
36;Ropa - Camisas
37;Ropa - Camisas
38;Ropa - Bodies
39;Ropa - Bodies
40;Ropa - Conjuntos
41;Ropa - Bodies
42;Ropa - Bodies
43;Ropa - Bodies
44;Ropa - Bodies
45;Ropa - Bodies
46;Ropa - Bodies
47;Ropa - Bodies
48;Ropa - Bodies
49;Ropa - Bodies
50;Ropa - Bodies
51;Ropa - Bodies
52;Ropa - Bodies
53;Ropa - Bodies
54;Ropa - Bodies
55;Ropa - Bodies
56;Ropa - Bodies
57;Ropa - Bodies
58;Ropa - Bodies
59;Ropa - Camisetas
60;Ropa - Camisetas
61;Ropa - Camisetas
62;Ropa - Camisetas
63;Ropa - Camisetas
64;Ropa - Camisetas
65;Ropa - Camisetas
66;Ropa - Camisetas
67;Ropa - Camisetas
68;Ropa - Camisas
69;Ropa - Conjuntos
70;Ropa - Conjuntos
71;Ropa - Conjuntos
72;Ropa - Conjuntos
73;Ropa - Conjuntos
74;Ropa - Conjuntos
75;Ropa - Conjuntos
76;Ropa - Conjuntos
77;Ropa - Conjuntos
78;Ropa - Conjuntos
79;Ropa - Conjuntos
80;Ropa - Conjuntos
81;Ropa - Conjuntos
82;Ropa - Conjuntos
83;Ropa - Conjuntos
84;Ropa - Conjuntos
85;Ropa - Conjuntos
86;Ropa - Conjuntos
87;Ropa - Conjuntos
88;Ropa - Conjuntos
89;Ropa - Conjuntos
90;Ropa - Conjuntos
91;Ropa - Conjuntos
